Event,Fabric,Color,Style_Persona,Micro_Climate,Suitability_Score,Match_Status
Temple Visit,Viscose,White,Bold,Indoor (AC),0.37,0
Temple Visit,Viscose,White,Minimalist,Indoor (AC),0.18,0
Beach Party,Cotton,Black,Minimalist,Indoor (AC),0.12,0
Gym/Workout,Georgette,White,Minimalist,Outdoor (Humid),0.19,0
Dinner Gala,Polyester,Black,Minimalist,Indoor (AC),0.5,0
Gym/Workout,Cotton,Navy Blue,Minimalist,Indoor (AC),0.2,0
Pola/Market,Linen,Navy Blue,Minimalist,Indoor (AC),0.21,0
Traditional Wedding,Silk,Emerald Green,Minimalist,Outdoor (Humid),0.83,1
Corporate Meeting,Viscose,White,Professional,Outdoor (Humid),0.55,0
Corporate Meeting,Silk,White,Bold,Outdoor (Humid),0.15,0
Corporate Meeting,Georgette,Black,Minimalist,Outdoor (Humid),0.16,0
Gym/Workout,Cotton,Navy Blue,Professional,Outdoor (Humid),0.79,1
Beach Party,Silk,Maroon,Bold,Outdoor (Humid),0.43,0
Traditional Wedding,Silk,Emerald Green,Professional,Outdoor (Humid),0.71,0
Dinner Gala,Polyester,Black,Minimalist,Outdoor (Humid),0.17,0
Corporate Meeting,Polyester,Maroon,Professional,Outdoor (Humid),0.55,0
Corporate Meeting,Georgette,Navy Blue,Bold,Outdoor (Humid),0.29,0
Corporate Meeting,Silk,Maroon,Bold,Indoor (AC),0.64,0
Dinner Gala,Silk,Navy Blue,Minimalist,Outdoor (Humid),0.52,0
Dinner Gala,Linen,Black,Minimalist,Outdoor (Humid),0.78,1
Temple Visit,Viscose,Emerald Green,Minimalist,Outdoor (Humid),0.42,0
Traditional Wedding,Cotton,Black,Minimalist,Indoor (AC),0.11,0
Gym/Workout,Viscose,Earth Tone,Minimalist,Indoor (AC),0.35,0
Beach Party,Linen,Maroon,Professional,Indoor (AC),0.28,0
Traditional Wedding,Viscose,Navy Blue,Professional,Indoor (AC),0.23,0
Corporate Meeting,Viscose,Navy Blue,Minimalist,Indoor (AC),0.25,0
Temple Visit,Silk,Emerald Green,Minimalist,Outdoor (Humid),0.42,0
Traditional Wedding,Georgette,Navy Blue,Bold,Outdoor (Humid),0.65,0
Dinner Gala,Linen,White,Professional,Outdoor (Humid),0.51,0
Temple Visit,Cotton,Navy Blue,Bold,Outdoor (Humid),0.6,0
Gym/Workout,Viscose,Maroon,Minimalist,Indoor (AC),0.3,0
Pola/Market,Silk,Earth Tone,Minimalist,Indoor (AC),0.65,0
Pola/Market,Silk,Maroon,Minimalist,Outdoor (Humid),0.31,0
Corporate Meeting,Georgette,White,Bold,Outdoor (Humid),0.16,0
Temple Visit,Polyester,Emerald Green,Bold,Indoor (AC),0.49,0
Pola/Market,Viscose,White,Professional,Outdoor (Humid),0.42,0
Gym/Workout,Silk,Maroon,Minimalist,Indoor (AC),0.44,0
Beach Party,Viscose,Maroon,Professional,Outdoor (Humid),0.34,0
Beach Party,Linen,Maroon,Bold,Indoor (AC),0.15,0
Traditional Wedding,Viscose,Earth Tone,Minimalist,Outdoor (Humid),0.24,0
Pola/Market,Viscose,Navy Blue,Bold,Outdoor (Humid),0.37,0
Traditional Wedding,Linen,Earth Tone,Minimalist,Indoor (AC),0.38,0
Gym/Workout,Linen,Emerald Green,Bold,Indoor (AC),0.48,0
Traditional Wedding,Silk,Maroon,Minimalist,Indoor (AC),0.86,1
Pola/Market,Linen,Navy Blue,Bold,Outdoor (Humid),0.73,0
Pola/Market,Linen,Earth Tone,Professional,Indoor (AC),0.28,0
Beach Party,Cotton,Navy Blue,Minimalist,Indoor (AC),0.46,0
Temple Visit,Cotton,Navy Blue,Bold,Outdoor (Humid),0.75,1
Gym/Workout,Silk,Emerald Green,Bold,Indoor (AC),0.64,0
Corporate Meeting,Linen,Earth Tone,Minimalist,Outdoor (Humid),0.76,1
Dinner Gala,Cotton,Emerald Green,Professional,Indoor (AC),0.21,0
Gym/Workout,Georgette,Earth Tone,Minimalist,Outdoor (Humid),0.28,0
Dinner Gala,Viscose,White,Professional,Outdoor (Humid),0.21,0
Corporate Meeting,Silk,Black,Professional,Indoor (AC),0.89,1
Pola/Market,Georgette,Black,Bold,Outdoor (Humid),0.29,0
Traditional Wedding,Linen,White,Minimalist,Indoor (AC),0.15,0
Pola/Market,Viscose,Earth Tone,Minimalist,Outdoor (Humid),0.26,0
Temple Visit,Silk,Emerald Green,Bold,Outdoor (Humid),0.32,0
Gym/Workout,Polyester,Earth Tone,Professional,Indoor (AC),0.23,0
Gym/Workout,Georgette,White,Minimalist,Outdoor (Humid),0.12,0
Gym/Workout,Georgette,Emerald Green,Professional,Outdoor (Humid),0.42,0
Dinner Gala,Linen,Black,Minimalist,Outdoor (Humid),0.67,0
Dinner Gala,Georgette,White,Professional,Outdoor (Humid),0.65,0
Beach Party,Cotton,Black,Minimalist,Outdoor (Humid),0.85,1
Traditional Wedding,Viscose,Emerald Green,Minimalist,Indoor (AC),0.17,0
Dinner Gala,Viscose,Earth Tone,Minimalist,Indoor (AC),0.23,0
Pola/Market,Linen,White,Professional,Indoor (AC),0.3,0
Corporate Meeting,Georgette,White,Minimalist,Outdoor (Humid),0.48,0
Corporate Meeting,Georgette,Black,Bold,Indoor (AC),0.48,0
Temple Visit,Polyester,Maroon,Minimalist,Indoor (AC),0.44,0
Beach Party,Georgette,Emerald Green,Bold,Outdoor (Humid),0.45,0
Temple Visit,Linen,Emerald Green,Bold,Indoor (AC),0.34,0
Gym/Workout,Georgette,Maroon,Professional,Indoor (AC),0.49,0
Dinner Gala,Cotton,Earth Tone,Minimalist,Indoor (AC),0.26,0
Gym/Workout,Linen,Earth Tone,Bold,Indoor (AC),0.49,0
Corporate Meeting,Georgette,Emerald Green,Bold,Outdoor (Humid),0.31,0
Temple Visit,Polyester,Navy Blue,Bold,Outdoor (Humid),0.49,0
Dinner Gala,Viscose,Emerald Green,Professional,Outdoor (Humid),0.5,0
Gym/Workout,Silk,White,Professional,Outdoor (Humid),0.25,0
Corporate Meeting,Polyester,White,Professional,Outdoor (Humid),0.71,0
Temple Visit,Silk,White,Minimalist,Outdoor (Humid),0.45,0
Pola/Market,Silk,Navy Blue,Bold,Indoor (AC),0.57,0
Temple Visit,Viscose,Navy Blue,Professional,Outdoor (Humid),0.22,0
Corporate Meeting,Cotton,Maroon,Minimalist,Indoor (AC),0.36,0
Pola/Market,Cotton,Black,Professional,Outdoor (Humid),0.56,0
Traditional Wedding,Silk,Earth Tone,Bold,Indoor (AC),0.74,0
Temple Visit,Linen,White,Professional,Indoor (AC),0.29,0
Temple Visit,Polyester,Navy Blue,Minimalist,Outdoor (Humid),0.11,0
Pola/Market,Linen,Emerald Green,Professional,Outdoor (Humid),0.54,0
Beach Party,Cotton,White,Minimalist,Indoor (AC),0.49,0
Beach Party,Silk,Maroon,Minimalist,Outdoor (Humid),0.16,0
Beach Party,Silk,Emerald Green,Professional,Indoor (AC),0.67,0
Beach Party,Linen,Maroon,Professional,Indoor (AC),0.17,0
Pola/Market,Polyester,Navy Blue,Professional,Outdoor (Humid),0.27,0
Beach Party,Georgette,Emerald Green,Professional,Outdoor (Humid),0.39,0
Gym/Workout,Silk,Black,Professional,Indoor (AC),0.65,0
Beach Party,Polyester,Maroon,Minimalist,Outdoor (Humid),0.23,0
Beach Party,Georgette,Emerald Green,Bold,Indoor (AC),0.44,0
Traditional Wedding,Georgette,White,Professional,Outdoor (Humid),0.55,0
Pola/Market,Linen,White,Bold,Outdoor (Humid),0.89,1
Corporate Meeting,Viscose,White,Minimalist,Indoor (AC),0.3,0
Temple Visit,Viscose,Black,Professional,Outdoor (Humid),0.43,0
Temple Visit,Linen,Navy Blue,Minimalist,Outdoor (Humid),0.72,0
Dinner Gala,Polyester,White,Minimalist,Indoor (AC),0.35,0
Dinner Gala,Viscose,Maroon,Professional,Indoor (AC),0.35,0
Beach Party,Linen,Earth Tone,Minimalist,Indoor (AC),0.2,0
Pola/Market,Silk,Maroon,Professional,Outdoor (Humid),0.13,0
Dinner Gala,Silk,Navy Blue,Bold,Indoor (AC),0.85,1
Beach Party,Viscose,Emerald Green,Minimalist,Indoor (AC),0.11,0
Temple Visit,Linen,Maroon,Bold,Outdoor (Humid),0.52,0
Temple Visit,Polyester,Black,Bold,Indoor (AC),0.13,0
Beach Party,Cotton,White,Bold,Outdoor (Humid),0.66,0
Temple Visit,Cotton,Maroon,Minimalist,Indoor (AC),0.5,0
Gym/Workout,Silk,Earth Tone,Bold,Outdoor (Humid),0.46,0
Dinner Gala,Cotton,Earth Tone,Professional,Outdoor (Humid),0.85,1
Gym/Workout,Cotton,Navy Blue,Professional,Indoor (AC),0.22,0
Beach Party,Linen,White,Bold,Outdoor (Humid),0.61,0
Gym/Workout,Georgette,Emerald Green,Minimalist,Indoor (AC),0.44,0
Gym/Workout,Silk,White,Minimalist,Outdoor (Humid),0.17,0
Dinner Gala,Viscose,Earth Tone,Professional,Outdoor (Humid),0.2,0
Gym/Workout,Silk,Maroon,Bold,Outdoor (Humid),0.26,0
Temple Visit,Georgette,Black,Professional,Indoor (AC),0.36,0
Gym/Workout,Linen,Emerald Green,Minimalist,Outdoor (Humid),0.58,0
Gym/Workout,Viscose,Emerald Green,Professional,Outdoor (Humid),0.36,0
Traditional Wedding,Georgette,Black,Minimalist,Indoor (AC),0.72,0
Traditional Wedding,Georgette,Emerald Green,Bold,Outdoor (Humid),0.79,1
Dinner Gala,Polyester,White,Bold,Outdoor (Humid),0.26,0
Gym/Workout,Linen,Emerald Green,Bold,Outdoor (Humid),0.58,0
Beach Party,Viscose,Black,Minimalist,Indoor (AC),0.3,0
Pola/Market,Cotton,Black,Professional,Indoor (AC),0.43,0
Dinner Gala,Linen,Earth Tone,Professional,Indoor (AC),0.15,0
Temple Visit,Silk,Black,Professional,Indoor (AC),0.6,0
Corporate Meeting,Silk,White,Bold,Outdoor (Humid),0.26,0
Temple Visit,Polyester,Emerald Green,Minimalist,Outdoor (Humid),0.38,0
Gym/Workout,Viscose,Navy Blue,Bold,Indoor (AC),0.24,0
Dinner Gala,Silk,Navy Blue,Bold,Indoor (AC),0.99,1
Gym/Workout,Linen,Navy Blue,Professional,Outdoor (Humid),0.67,0
Pola/Market,Cotton,Black,Bold,Indoor (AC),0.48,0
Traditional Wedding,Silk,Black,Bold,Outdoor (Humid),0.89,1
Dinner Gala,Georgette,Earth Tone,Minimalist,Indoor (AC),0.84,1
Temple Visit,Cotton,Emerald Green,Minimalist,Outdoor (Humid),0.55,0
Beach Party,Viscose,Black,Minimalist,Indoor (AC),0.32,0
Dinner Gala,Georgette,Navy Blue,Professional,Outdoor (Humid),0.86,1
Beach Party,Polyester,Earth Tone,Bold,Outdoor (Humid),0.42,0
Pola/Market,Georgette,Black,Bold,Indoor (AC),0.29,0
Dinner Gala,Silk,Earth Tone,Bold,Outdoor (Humid),0.55,0
Dinner Gala,Georgette,Navy Blue,Professional,Outdoor (Humid),0.85,1
Corporate Meeting,Cotton,Maroon,Professional,Outdoor (Humid),1.0,1
Corporate Meeting,Georgette,Black,Professional,Indoor (AC),0.69,0
Temple Visit,Cotton,Black,Professional,Outdoor (Humid),0.6,0
Traditional Wedding,Silk,Maroon,Bold,Outdoor (Humid),0.62,0
Corporate Meeting,Linen,Earth Tone,Minimalist,Outdoor (Humid),0.85,1
Temple Visit,Cotton,Earth Tone,Bold,Indoor (AC),0.24,0
Pola/Market,Silk,Black,Professional,Outdoor (Humid),0.5,0
Pola/Market,Linen,White,Professional,Indoor (AC),0.31,0
Gym/Workout,Silk,Emerald Green,Bold,Indoor (AC),0.41,0
Traditional Wedding,Cotton,Earth Tone,Bold,Indoor (AC),0.27,0
Corporate Meeting,Linen,Earth Tone,Professional,Indoor (AC),0.51,0
Corporate Meeting,Georgette,Maroon,Professional,Indoor (AC),0.69,0
Gym/Workout,Viscose,Earth Tone,Minimalist,Indoor (AC),0.44,0
Corporate Meeting,Linen,Navy Blue,Professional,Indoor (AC),0.46,0
Beach Party,Viscose,Earth Tone,Minimalist,Outdoor (Humid),0.37,0
Gym/Workout,Linen,White,Professional,Outdoor (Humid),0.86,1
Traditional Wedding,Silk,Navy Blue,Professional,Indoor (AC),1.0,1
Corporate Meeting,Viscose,Navy Blue,Bold,Indoor (AC),0.39,0
Gym/Workout,Georgette,Black,Professional,Outdoor (Humid),0.4,0
Beach Party,Georgette,Earth Tone,Bold,Indoor (AC),0.42,0
Temple Visit,Georgette,Maroon,Minimalist,Outdoor (Humid),0.11,0
Corporate Meeting,Viscose,Black,Minimalist,Outdoor (Humid),0.36,0
Corporate Meeting,Silk,White,Professional,Outdoor (Humid),0.45,0
Beach Party,Silk,Black,Bold,Outdoor (Humid),0.49,0
Dinner Gala,Georgette,Black,Minimalist,Outdoor (Humid),0.67,0
Gym/Workout,Georgette,Black,Professional,Indoor (AC),0.31,0
Temple Visit,Linen,Maroon,Professional,Indoor (AC),0.29,0
Gym/Workout,Viscose,Black,Bold,Outdoor (Humid),0.1,0
Dinner Gala,Linen,White,Minimalist,Outdoor (Humid),0.79,1
Beach Party,Cotton,White,Professional,Outdoor (Humid),0.77,1
Pola/Market,Polyester,Maroon,Professional,Indoor (AC),0.35,0
Traditional Wedding,Georgette,Maroon,Bold,Outdoor (Humid),0.8,1
Dinner Gala,Polyester,Emerald Green,Minimalist,Outdoor (Humid),0.19,0
Pola/Market,Silk,White,Minimalist,Indoor (AC),0.36,0
Corporate Meeting,Georgette,Earth Tone,Bold,Outdoor (Humid),0.24,0
Dinner Gala,Silk,Earth Tone,Professional,Indoor (AC),1.0,1
Beach Party,Viscose,Emerald Green,Minimalist,Outdoor (Humid),0.14,0
Gym/Workout,Georgette,Navy Blue,Bold,Indoor (AC),0.26,0
Corporate Meeting,Silk,Maroon,Professional,Indoor (AC),0.86,1
Traditional Wedding,Silk,Navy Blue,Professional,Indoor (AC),0.94,1
Temple Visit,Silk,Maroon,Bold,Outdoor (Humid),0.3,0
Beach Party,Viscose,Maroon,Minimalist,Indoor (AC),0.29,0
Temple Visit,Viscose,Maroon,Bold,Outdoor (Humid),0.35,0
Traditional Wedding,Cotton,Earth Tone,Minimalist,Outdoor (Humid),0.74,0
Gym/Workout,Cotton,Emerald Green,Bold,Outdoor (Humid),0.81,1
Beach Party,Linen,Navy Blue,Bold,Indoor (AC),0.43,0
Temple Visit,Polyester,Navy Blue,Minimalist,Indoor (AC),0.47,0
Dinner Gala,Viscose,Maroon,Bold,Outdoor (Humid),0.28,0
Pola/Market,Silk,White,Bold,Indoor (AC),0.52,0
Beach Party,Polyester,Earth Tone,Minimalist,Outdoor (Humid),0.41,0
Pola/Market,Linen,White,Professional,Outdoor (Humid),0.89,1
Temple Visit,Viscose,White,Minimalist,Outdoor (Humid),0.45,0
Pola/Market,Cotton,White,Professional,Outdoor (Humid),0.62,0
Beach Party,Polyester,Black,Minimalist,Outdoor (Humid),0.41,0
Beach Party,Cotton,Earth Tone,Minimalist,Indoor (AC),0.2,0
Beach Party,Linen,Emerald Green,Professional,Indoor (AC),0.39,0
Traditional Wedding,Polyester,Emerald Green,Professional,Outdoor (Humid),0.2,0
Gym/Workout,Georgette,Emerald Green,Bold,Outdoor (Humid),0.35,0
Traditional Wedding,Silk,White,Professional,Outdoor (Humid),0.57,0
Corporate Meeting,Silk,White,Professional,Indoor (AC),0.97,1
Corporate Meeting,Polyester,Navy Blue,Minimalist,Outdoor (Humid),0.41,0
Pola/Market,Cotton,Emerald Green,Professional,Outdoor (Humid),0.6,0
Pola/Market,Cotton,Maroon,Bold,Outdoor (Humid),0.69,0
Gym/Workout,Silk,Emerald Green,Professional,Indoor (AC),0.44,0
Temple Visit,Georgette,Black,Bold,Indoor (AC),0.44,0
Beach Party,Georgette,Black,Minimalist,Outdoor (Humid),0.25,0
Corporate Meeting,Polyester,Black,Minimalist,Indoor (AC),0.27,0
Gym/Workout,Polyester,Black,Professional,Indoor (AC),0.24,0
Pola/Market,Polyester,Maroon,Professional,Indoor (AC),0.18,0
Beach Party,Georgette,Maroon,Minimalist,Indoor (AC),0.29,0
Beach Party,Polyester,Earth Tone,Professional,Indoor (AC),0.12,0
Temple Visit,Polyester,Maroon,Minimalist,Indoor (AC),0.23,0
Gym/Workout,Georgette,Black,Professional,Outdoor (Humid),0.2,0
Traditional Wedding,Viscose,White,Bold,Outdoor (Humid),0.14,0
Corporate Meeting,Polyester,Maroon,Minimalist,Indoor (AC),0.26,0
Gym/Workout,Georgette,Earth Tone,Minimalist,Indoor (AC),0.45,0
Pola/Market,Polyester,White,Professional,Indoor (AC),0.11,0
Traditional Wedding,Cotton,White,Minimalist,Indoor (AC),0.37,0
Dinner Gala,Polyester,Emerald Green,Minimalist,Outdoor (Humid),0.32,0
Dinner Gala,Silk,Earth Tone,Professional,Indoor (AC),0.75,1
Traditional Wedding,Georgette,White,Bold,Indoor (AC),0.78,1
Temple Visit,Viscose,Earth Tone,Professional,Outdoor (Humid),0.33,0
Dinner Gala,Georgette,Black,Bold,Indoor (AC),0.88,1
Traditional Wedding,Cotton,Earth Tone,Minimalist,Outdoor (Humid),0.66,0
Pola/Market,Silk,Earth Tone,Minimalist,Outdoor (Humid),0.13,0
Temple Visit,Linen,Navy Blue,Bold,Outdoor (Humid),0.9,1
Gym/Workout,Viscose,Black,Professional,Outdoor (Humid),0.19,0
Dinner Gala,Georgette,Maroon,Professional,Indoor (AC),0.84,1
Corporate Meeting,Viscose,Earth Tone,Minimalist,Indoor (AC),0.41,0
Dinner Gala,Georgette,Earth Tone,Professional,Indoor (AC),0.6,0
Traditional Wedding,Viscose,Navy Blue,Professional,Outdoor (Humid),0.42,0
Gym/Workout,Polyester,Emerald Green,Bold,Indoor (AC),0.19,0
Pola/Market,Viscose,White,Minimalist,Outdoor (Humid),0.4,0
Beach Party,Silk,Maroon,Bold,Indoor (AC),0.34,0
Temple Visit,Cotton,Maroon,Bold,Outdoor (Humid),0.66,0
Dinner Gala,Linen,Navy Blue,Minimalist,Indoor (AC),0.28,0
Corporate Meeting,Cotton,Navy Blue,Minimalist,Outdoor (Humid),0.81,1
Pola/Market,Georgette,Navy Blue,Professional,Indoor (AC),0.41,0
Dinner Gala,Viscose,Earth Tone,Minimalist,Indoor (AC),0.38,0
Traditional Wedding,Georgette,Navy Blue,Bold,Indoor (AC),0.8,1
Temple Visit,Linen,White,Professional,Outdoor (Humid),0.53,0
Beach Party,Polyester,Earth Tone,Bold,Indoor (AC),0.32,0
Beach Party,Linen,Maroon,Bold,Outdoor (Humid),0.59,0
Corporate Meeting,Georgette,Navy Blue,Bold,Indoor (AC),0.19,0
Dinner Gala,Linen,White,Professional,Indoor (AC),0.5,0
Beach Party,Georgette,Black,Bold,Outdoor (Humid),0.24,0
Traditional Wedding,Polyester,Black,Minimalist,Indoor (AC),0.21,0
Beach Party,Cotton,Emerald Green,Professional,Indoor (AC),0.38,0
Pola/Market,Georgette,Black,Minimalist,Outdoor (Humid),0.14,0
Temple Visit,Viscose,Navy Blue,Minimalist,Indoor (AC),0.25,0
Gym/Workout,Cotton,Earth Tone,Bold,Indoor (AC),0.2,0
Temple Visit,Georgette,White,Professional,Outdoor (Humid),0.44,0
Pola/Market,Linen,Earth Tone,Professional,Indoor (AC),0.32,0
Pola/Market,Cotton,White,Minimalist,Indoor (AC),0.31,0
Gym/Workout,Cotton,Maroon,Professional,Outdoor (Humid),0.52,0
Traditional Wedding,Cotton,White,Minimalist,Outdoor (Humid),0.65,0
Dinner Gala,Viscose,White,Bold,Outdoor (Humid),0.16,0
Temple Visit,Viscose,White,Bold,Outdoor (Humid),0.49,0
Pola/Market,Polyester,Navy Blue,Professional,Indoor (AC),0.15,0
Beach Party,Georgette,Earth Tone,Professional,Indoor (AC),0.31,0
Corporate Meeting,Viscose,Earth Tone,Bold,Outdoor (Humid),0.11,0
Gym/Workout,Linen,White,Bold,Outdoor (Humid),0.88,1
Gym/Workout,Cotton,Maroon,Bold,Indoor (AC),0.4,0
Traditional Wedding,Cotton,Navy Blue,Minimalist,Indoor (AC),0.21,0
Temple Visit,Linen,Black,Minimalist,Indoor (AC),0.46,0
Pola/Market,Cotton,Navy Blue,Minimalist,Outdoor (Humid),0.89,1
Traditional Wedding,Cotton,Emerald Green,Professional,Indoor (AC),0.41,0
Gym/Workout,Silk,White,Bold,Indoor (AC),0.68,0
Corporate Meeting,Viscose,Earth Tone,Professional,Outdoor (Humid),0.63,0
Temple Visit,Linen,Maroon,Minimalist,Outdoor (Humid),0.66,0
Dinner Gala,Silk,Emerald Green,Bold,Outdoor (Humid),0.83,1
Corporate Meeting,Cotton,White,Professional,Indoor (AC),0.75,1
Corporate Meeting,Polyester,Emerald Green,Minimalist,Outdoor (Humid),0.12,0
Beach Party,Silk,Earth Tone,Bold,Indoor (AC),0.65,0
Gym/Workout,Silk,Earth Tone,Professional,Indoor (AC),0.55,0
Beach Party,Polyester,Black,Bold,Outdoor (Humid),0.23,0
Temple Visit,Cotton,Black,Minimalist,Indoor (AC),0.42,0
Temple Visit,Georgette,Earth Tone,Bold,Indoor (AC),0.41,0
Beach Party,Cotton,Black,Minimalist,Outdoor (Humid),0.57,0
Traditional Wedding,Polyester,Navy Blue,Minimalist,Outdoor (Humid),0.45,0
Corporate Meeting,Linen,White,Professional,Indoor (AC),0.47,0
Pola/Market,Polyester,Black,Bold,Indoor (AC),0.21,0
Gym/Workout,Silk,Maroon,Professional,Outdoor (Humid),0.49,0
Temple Visit,Georgette,Emerald Green,Minimalist,Indoor (AC),0.22,0
Temple Visit,Linen,Maroon,Minimalist,Indoor (AC),0.36,0
Corporate Meeting,Linen,Emerald Green,Professional,Indoor (AC),0.61,0
Pola/Market,Linen,Earth Tone,Minimalist,Outdoor (Humid),0.53,0
Dinner Gala,Linen,Maroon,Bold,Outdoor (Humid),0.73,0
Dinner Gala,Viscose,White,Bold,Outdoor (Humid),0.37,0
Beach Party,Viscose,Black,Minimalist,Indoor (AC),0.29,0
Pola/Market,Cotton,Navy Blue,Bold,Indoor (AC),0.47,0
Traditional Wedding,Georgette,White,Minimalist,Outdoor (Humid),0.65,0
Gym/Workout,Viscose,White,Bold,Outdoor (Humid),0.13,0
Temple Visit,Cotton,Navy Blue,Minimalist,Outdoor (Humid),0.83,1
Traditional Wedding,Linen,Emerald Green,Minimalist,Outdoor (Humid),0.9,1
Traditional Wedding,Georgette,Navy Blue,Professional,Outdoor (Humid),0.83,1
Pola/Market,Viscose,Earth Tone,Professional,Outdoor (Humid),0.26,0
Dinner Gala,Polyester,Emerald Green,Minimalist,Indoor (AC),0.21,0
Temple Visit,Georgette,White,Bold,Outdoor (Humid),0.41,0
Beach Party,Georgette,Navy Blue,Professional,Indoor (AC),0.49,0
Temple Visit,Silk,Maroon,Bold,Indoor (AC),0.51,0
Traditional Wedding,Silk,Emerald Green,Professional,Outdoor (Humid),0.83,1
Traditional Wedding,Georgette,Earth Tone,Minimalist,Indoor (AC),0.81,1
Pola/Market,Silk,Black,Minimalist,Outdoor (Humid),0.23,0
Pola/Market,Georgette,Emerald Green,Minimalist,Indoor (AC),0.4,0
Traditional Wedding,Polyester,Emerald Green,Minimalist,Outdoor (Humid),0.45,0
Beach Party,Cotton,Black,Bold,Indoor (AC),0.21,0
Temple Visit,Polyester,Black,Minimalist,Outdoor (Humid),0.46,0
Traditional Wedding,Linen,Maroon,Professional,Outdoor (Humid),0.55,0
Dinner Gala,Cotton,Black,Professional,Indoor (AC),0.1,0
Corporate Meeting,Silk,White,Bold,Outdoor (Humid),0.31,0
Temple Visit,Silk,Earth Tone,Professional,Indoor (AC),0.39,0
Temple Visit,Viscose,Emerald Green,Professional,Indoor (AC),0.28,0
Temple Visit,Linen,White,Professional,Outdoor (Humid),0.56,0
Corporate Meeting,Silk,Emerald Green,Minimalist,Outdoor (Humid),0.44,0
Traditional Wedding,Silk,Emerald Green,Minimalist,Outdoor (Humid),0.53,0
Gym/Workout,Cotton,Navy Blue,Professional,Indoor (AC),0.23,0
Corporate Meeting,Polyester,Navy Blue,Bold,Indoor (AC),0.41,0
Dinner Gala,Georgette,Earth Tone,Bold,Indoor (AC),0.77,1
Traditional Wedding,Viscose,Navy Blue,Bold,Outdoor (Humid),0.49,0
Gym/Workout,Linen,Emerald Green,Bold,Indoor (AC),0.12,0
Gym/Workout,Polyester,Maroon,Minimalist,Outdoor (Humid),0.37,0
Temple Visit,Georgette,White,Minimalist,Outdoor (Humid),0.17,0
Traditional Wedding,Linen,Earth Tone,Bold,Outdoor (Humid),0.53,0
Corporate Meeting,Georgette,Navy Blue,Bold,Indoor (AC),0.19,0
Beach Party,Georgette,Black,Professional,Indoor (AC),0.14,0
Pola/Market,Polyester,Maroon,Professional,Outdoor (Humid),0.18,0
Beach Party,Linen,Earth Tone,Bold,Outdoor (Humid),0.67,0
Beach Party,Polyester,White,Bold,Outdoor (Humid),0.39,0
Pola/Market,Polyester,Maroon,Bold,Indoor (AC),0.25,0
Pola/Market,Viscose,Navy Blue,Bold,Indoor (AC),0.31,0
Pola/Market,Georgette,Earth Tone,Minimalist,Outdoor (Humid),0.16,0
Temple Visit,Georgette,Emerald Green,Bold,Indoor (AC),0.21,0
Traditional Wedding,Viscose,Black,Professional,Outdoor (Humid),0.29,0
Corporate Meeting,Cotton,Emerald Green,Minimalist,Indoor (AC),0.49,0
Traditional Wedding,Silk,Emerald Green,Bold,Outdoor (Humid),0.57,0
Gym/Workout,Georgette,Emerald Green,Bold,Indoor (AC),0.37,0
Temple Visit,Polyester,Maroon,Minimalist,Outdoor (Humid),0.47,0
Pola/Market,Linen,Black,Professional,Outdoor (Humid),0.82,1
Corporate Meeting,Georgette,White,Minimalist,Outdoor (Humid),0.45,0
Dinner Gala,Viscose,Emerald Green,Minimalist,Indoor (AC),0.13,0
Temple Visit,Silk,Maroon,Professional,Outdoor (Humid),0.3,0
Traditional Wedding,Cotton,White,Bold,Indoor (AC),0.2,0
Pola/Market,Linen,Black,Bold,Outdoor (Humid),0.77,1
Beach Party,Georgette,Emerald Green,Bold,Indoor (AC),0.24,0
Pola/Market,Linen,White,Bold,Indoor (AC),0.14,0
Temple Visit,Polyester,Earth Tone,Minimalist,Indoor (AC),0.21,0
Corporate Meeting,Silk,Navy Blue,Professional,Outdoor (Humid),0.43,0
Dinner Gala,Polyester,Earth Tone,Bold,Indoor (AC),0.22,0
Corporate Meeting,Georgette,Black,Bold,Outdoor (Humid),0.31,0
Dinner Gala,Polyester,Emerald Green,Bold,Indoor (AC),0.1,0
Beach Party,Polyester,Maroon,Professional,Outdoor (Humid),0.36,0
Corporate Meeting,Georgette,Earth Tone,Professional,Outdoor (Humid),0.73,0
Pola/Market,Cotton,Navy Blue,Professional,Outdoor (Humid),0.74,0
Pola/Market,Georgette,Navy Blue,Minimalist,Outdoor (Humid),0.49,0
Pola/Market,Linen,Maroon,Professional,Indoor (AC),0.43,0
Traditional Wedding,Cotton,Black,Minimalist,Indoor (AC),0.46,0
Beach Party,Viscose,Maroon,Bold,Indoor (AC),0.17,0
Corporate Meeting,Georgette,Maroon,Professional,Indoor (AC),0.6,0
Gym/Workout,Linen,Maroon,Professional,Outdoor (Humid),0.52,0
Beach Party,Cotton,Navy Blue,Minimalist,Outdoor (Humid),0.69,0
Temple Visit,Cotton,Earth Tone,Bold,Indoor (AC),0.25,0
Beach Party,Cotton,White,Minimalist,Indoor (AC),0.24,0
Corporate Meeting,Linen,White,Minimalist,Indoor (AC),0.31,0
Beach Party,Viscose,Maroon,Bold,Indoor (AC),0.15,0
Dinner Gala,Linen,Navy Blue,Minimalist,Outdoor (Humid),0.65,0
Temple Visit,Georgette,Earth Tone,Professional,Outdoor (Humid),0.38,0
Dinner Gala,Silk,White,Professional,Outdoor (Humid),0.64,0
